item_name,expiry_date,opening_stock,closing_stock,variance,days_to_expiry,expiry_status,stock_analysis,consumption per month,consumption in 3 months,to purchase,unit,calculated_consumption,mos,clinical_status,is_vip,traffic_light,mos_numeric,final_status
feeding tube sz 06,2030-04-01,686.0,200.0,-486.0,1465,Long Expiry (>6 Months),Fast Mover,486.0,0.0,,pcs,486.0,0.4,ORANGE: Low Stock,False,ORANGE: Low Stock,0.4,ORANGE: Low Stock
feeding tube sz 04,2030-02-01,482.0,101.0,-381.0,1406,Long Expiry (>6 Months),Fast Mover,381.0,0.0,,pcs,381.0,0.3,ORANGE: Low Stock,False,ORANGE: Low Stock,0.3,ORANGE: Low Stock
sunction catheter sz 20,2026-06-01,267.0,225.0,-42.0,65,Short Expiry (<3 Months),Fast Mover,42.0,0.0,,pcs,42.0,5.4,GREEN: Healthy,True,GREEN: Healthy VIP,5.4,GREEN: Healthy
sunction catheter sz 16,2030-05-01,815.0,814.0,-1.0,1495,Long Expiry (>6 Months),Normal Movement,1.0,0.0,,pcs,1.0,814.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,814.0,GREEN: VIP Safety Stock (Slow Mover)
sunction catheter sz 14,2030-04-01,20.0,181.0,161.0,1465,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,181000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
sunction catheter sz 12,2030-04-01,1120.0,60.0,-1060.0,1465,Long Expiry (>6 Months),Fast Mover,1060.0,0.0,,pcs,1060.0,0.1,ORANGE: Low Stock,True,ORANGE: Low Stock,0.1,ORANGE: Low Stock
sunction catheter sz 10,2029-09-01,350.0,213.0,-137.0,1253,Long Expiry (>6 Months),Fast Mover,137.0,0.0,,pcs,137.0,1.6,GREEN: Healthy,True,GREEN: Healthy VIP,1.6,GREEN: Healthy
sunction catheter sz 08,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,pcs,0.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
sunction catheter sz 06,2030-04-01,159.0,343.0,184.0,1465,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,343000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
"z.o.p 4""",2030-04-01,1295.0,890.0,-405.0,1465,Long Expiry (>6 Months),Fast Mover,405.0,0.0,,pcs,405.0,2.2,GREEN: Healthy,False,GREEN: Healthy Regular,2.2,GREEN: Healthy
"z.o.p 3""",2030-07-01,60.0,0.0,-60.0,1556,Long Expiry (>6 Months),Fast Mover,60.0,0.0,,pcs,60.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
"primapore  3""",2030-08-01,173.0,0.0,-173.0,1587,Long Expiry (>6 Months),Fast Mover,173.0,0.0,,pcs,173.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
ambu bag - adult,2029-09-01,6.0,15.0,9.0,1253,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,15000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
ambu bag - paeds,2029-10-01,25.0,0.0,-25.0,1283,Long Expiry (>6 Months),Fast Mover,25.0,0.0,,pcs,25.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
ambu bag - infant/neonate,2028-07-01,28.0,0.0,-28.0,826,Long Expiry (>6 Months),Fast Mover,28.0,0.0,,pcs,28.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
"elastic adhesive bandage 6""",2028-07-01,70.0,48.0,-22.0,826,Long Expiry (>6 Months),Fast Mover,22.0,0.0,,pcs,22.0,2.2,GREEN: Healthy,True,GREEN: Healthy VIP,2.2,GREEN: Healthy
harpic cleaner,2027-01-01,48.0,0.0,-48.0,279,Long Expiry (>6 Months),Fast Mover,48.0,0.0,,pcs,48.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
polyester thread,2100-01-01,51.0,21.0,-30.0,26942,Long Expiry (>6 Months),Fast Mover,30.0,0.0,,pcs,30.0,0.7,ORANGE: Low Stock,False,ORANGE: Low Stock,0.7,ORANGE: Low Stock
elastic tape,2100-01-01,3.0,3.0,0.0,26942,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,3000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
leather gloves,2100-01-01,11.0,16.0,5.0,26942,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pairs,0.0,16000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
laerdel mask paed,2100-01-01,12.0,0.0,-12.0,26942,Long Expiry (>6 Months),Fast Mover,12.0,0.0,,pcs,12.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
umbilical cord clamps,2026-05-01,900.0,800.0,-100.0,34,Short Expiry (<3 Months),Fast Mover,100.0,0.0,,pcs,100.0,8.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,8.0,GREEN: Healthy
mva kit,2100-01-01,3.0,3.0,0.0,26942,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,3000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
skin tranction kit,2023-03-01,2.0,0.0,-2.0,-1123,Expired,Normal Movement,2.0,0.0,,pcs,2.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
spinal needle g 22,2029-05-01,7.0,8.0,1.0,1130,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pkts of 25,0.0,8000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
bone wax,2030-09-01,3.0,5.0,2.0,1618,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,dozens,0.0,5000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
orthopaedic padding,2029-09-17,7200.0,0.0,-7200.0,1269,Long Expiry (>6 Months),Fast Mover,7200.0,0.0,,pcs,7200.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
stethoscope dual head,2100-01-01,6.0,6.0,0.0,26942,Long Expiry (>6 Months),Fixed Asset (Not for Consumption),0.0,0.0,,Pcs,0.0,6000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
salter scale w/o pant,2100-01-01,2.0,2.0,0.0,26942,Long Expiry (>6 Months),Fixed Asset (Not for Consumption),0.0,0.0,,Pcs,0.0,2000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
digital thermometer,2100-01-01,5.0,7.0,2.0,26942,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,Pcs,0.0,7000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
analog bathroomscale,2100-01-01,2.0,2.0,0.0,26942,Long Expiry (>6 Months),Fixed Asset (Not for Consumption),0.0,0.0,,Pcs,0.0,2000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
bp machine manual (sphygnomanometre),2100-01-01,7.0,7.0,0.0,26942,Long Expiry (>6 Months),Fixed Asset (Not for Consumption),0.0,0.0,,Pcs,0.0,7000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
paper gloves,2030-05-01,51.0,65.0,14.0,1495,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,Pcs,0.0,65000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
silicon catheter sz 6 2way,2027-09-01,69.0,90.0,21.0,522,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,Pcs,0.0,90000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
silicon catheter sz 16 2way,2030-06-01,29.0,29.0,0.0,1526,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,29000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
silicon catheter sz 8 2way,2029-01-01,9.0,9.0,0.0,1010,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,9000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
sterile gauze swabs 10 x 10 cm,2027-12-01,25.0,25.0,0.0,613,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pkts of 25,0.0,25000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
disposable speculum (m),2029-11-01,900.0,900.0,0.0,1314,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,900000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
disposable speculum (l),2029-12-01,400.0,400.0,0.0,1344,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,400000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
male condom catheters,2030-03-01,200.0,0.0,-200.0,1434,Long Expiry (>6 Months),Fast Mover,200.0,0.0,,pcs,200.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
paediatric urine collector,2026-06-27,200.0,0.0,-200.0,91,Medium Expiry (3-6 Months),Fast Mover,200.0,0.0,,pcs,200.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
"autoclaving tape 3/4""",2030-07-01,253.0,168.0,-85.0,1556,Long Expiry (>6 Months),Fast Mover,85.0,0.0,,rolls,85.0,2.0,GREEN: Healthy,False,GREEN: Healthy Regular,2.0,GREEN: Healthy
colostomy bag adult,2028-12-01,170.0,0.0,-170.0,979,Long Expiry (>6 Months),Fast Mover,170.0,0.0,,pcs,170.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
colostomy bag paeds,2028-10-01,269.0,0.0,-269.0,918,Long Expiry (>6 Months),Fast Mover,269.0,0.0,,pcs,269.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
"surgical blade 15""",2027-11-01,22782.0,5491.0,-17291.0,583,Long Expiry (>6 Months),Fast Mover,17291.0,0.0,,pcs,17291.0,0.3,ORANGE: Low Stock,True,ORANGE: Low Stock,0.3,ORANGE: Low Stock
"surgical blade 11""",2030-08-01,2900.0,1985.0,-915.0,1587,Long Expiry (>6 Months),Fast Mover,915.0,0.0,,pcs,915.0,2.2,GREEN: Healthy,True,GREEN: Healthy Regular,2.2,GREEN: Healthy
"surgical blade 23""",2028-05-01,25253.0,25097.0,-156.0,765,Long Expiry (>6 Months),Fast Mover,156.0,0.0,,pcs,156.0,160.9,PURPLE: Dead Stock (Review Needed),True,PURPLE: Regular Dead Stock,160.9,GREEN: VIP Safety Stock (Slow Mover)
under water chest drainage bottle,2030-04-01,105.0,144.0,39.0,1465,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,144000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
alcohol swabs,2030-05-01,452.0,6.0,-446.0,1495,Long Expiry (>6 Months),Fast Mover,446.0,0.0,,pkts of 100,446.0,0.0,ORANGE: Low Stock,False,ORANGE: Low Stock,0.0,ORANGE: Low Stock
ecg electrodes adult,2026-08-01,3900.0,86.0,-3814.0,126,Medium Expiry (3-6 Months),Fast Mover,3814.0,0.0,,pcs,3814.0,0.0,ORANGE: Low Stock,False,ORANGE: Low Stock,0.0,ORANGE: Low Stock
ecg electrodes paeds,2026-08-01,3100.0,3.0,-3097.0,126,Medium Expiry (3-6 Months),Fast Mover,3097.0,0.0,,pcs,3097.0,0.0,ORANGE: Low Stock,False,ORANGE: Low Stock,0.0,ORANGE: Low Stock
surgical gown,2028-03-01,59.0,0.0,-59.0,704,Long Expiry (>6 Months),Fast Mover,59.0,0.0,,pcs,59.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
tongue depressor,2100-01-01,83.0,0.0,-83.0,26942,Long Expiry (>6 Months),Fast Mover,83.0,0.0,,pkt of 100's,83.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
insulin syringes 6mm,2027-07-01,4350.0,1300.0,-3050.0,460,Long Expiry (>6 Months),Fast Mover,3050.0,0.0,,pcs,3050.0,0.4,ORANGE: Low Stock,True,ORANGE: Low Stock,0.4,ORANGE: Low Stock
steranios,2029-04-01,32.0,35.0,3.0,1100,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,5ltrs,0.0,35000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
sanicrub hand wash 4%,2027-05-01,6.0,8.0,2.0,399,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,5ltrs,0.0,8000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
vim 400grams,2100-01-01,72.0,0.0,-72.0,26942,Long Expiry (>6 Months),Fast Mover,72.0,0.0,,CAN,72.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
hme bacteria adult,2100-01-01,65.0,65.0,0.0,26942,Long Expiry (>6 Months),Dead Stock (Frozen Money),0.0,0.0,,pcs,0.0,65000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
hme bacteria paed,2100-01-01,173.0,0.0,-173.0,26942,Long Expiry (>6 Months),Fast Mover,173.0,0.0,,pcs,173.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
toilet balls,2100-01-01,31.0,0.0,-31.0,26942,Long Expiry (>6 Months),Fast Mover,31.0,0.0,,pkts of 6,31.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
super bright,2100-01-01,73.0,0.0,-73.0,26942,Long Expiry (>6 Months),Fast Mover,73.0,0.0,,dozens,73.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
